Column1;Column2;Column3;Column4
पाइन;2;;remove
झुट;2;;remove
बेइमानी;2;;remove
ईश्वरको;2;;remove
ब्रमाण्डको;2;;remove
अध्ययन;2;;remove
विज्ञानलाई;2;;remove
आवश्यकता;2;;remove
भगवानलाई;2;;remove
साँचो;2;;remove
खुलेर;2;;remove
सकेका;2;;remove
देखाउन;2;;remove
पर्दछ;2;;remove
सुनौला;2;;remove
लम्किनु;2;;remove
बालक;2;;remove
त्यागेर;2;;remove
खोसेर;2;;remove
आशक्त;2;;remove
यिनको;2;;remove
ज्ञानी;2;;remove
वाणी;2;;remove
बादलभित्र;2;;remove
छाम्दै;2;;remove
कुटो;2;;remove
टेक्ने;2;;remove
किल्ला;2;;remove
पाटा;2;;remove
हिउँदे;2;;remove
पाली;2;;remove
खन्दै;2;;remove
बिसाउने;2;;remove
घाँस;2;;remove
खर;2;;remove
काट्दै;2;;remove
खाजासँगै;2;;remove
थियौ;2;;remove
आँगनमा;2;;remove
बिसाएर;2;;remove
ठोट्ने;2;;remove
पोल्टोमा;2;;remove
फुटाएर;2;;remove
थाकेको;2;;remove
मझेरीमा;2;;remove
ढिँडो;2;;remove
आशाहरू;2;;remove
सम्झनाहरू;2;;remove
मुस्कुराउँदै;2;;remove
भित्रबाट;2;;remove
कोसिस;2;;remove
छोडेको;2;;remove
सर्वस्व;2;;remove
हाँस्न;2;;remove
अन्तर;2;;remove
पोख्छ;2;;remove
क्षितिज;2;;remove
वास्तविकता;2;;remove
वास्ता;2;;remove
गरेन;2;;remove
बाआमाले;2;;remove
बरा;2;;remove
महान्;2;;remove
आकाङ्क्षा;2;;remove
बदला;2;;remove
पहाडले;2;;remove
जन्मेँ;2;;remove
ढुङ्गामा;2;;remove
बाख्रा;2;;remove
खेतीपाती;2;;remove
पौरख;2;;remove
दोहोरी;2;;remove
पन;2;;remove
सरकारी;2;;remove
बाटामा;2;;remove
बिन्दु;2;;remove
पौरखी;2;;remove
हातहरूले;2;;remove
भक्खर;2;;remove
अझैसम्म;2;;remove
जान्दैन;2;;remove
जान्दछ;2;;remove
कोरिएको;2;;remove
भैँसी;2;;remove
चप्पल;2;;remove
खोली;2;;remove
सामान;2;;remove
मेची;2;;remove
थापेको;2;;remove
आशामा;2;;remove
दिनहरू;2;;remove
सहेर;2;;remove
रातारात;2;;remove
जोगाउन;2;;remove
गन्ती;2;;remove
बिहानै;2;;remove
बेलुकी;2;;remove
स्वरमा;2;;remove
ओराली;2;;remove
काटेर;2;;remove
भरेको;2;;remove
धानका;2;;remove
शिला;2;;remove
रमाइलो;2;;remove
एकादेशको;2;;remove
कुकुर;2;;remove
बाँ;2;;remove
कोइली;2;;remove
सङ्गीत;2;;remove
मनमोहक;2;;remove
सुस्केरा;2;;remove
सागरको;2;;remove
गहिराई;2;;remove
त्यतै;2;;remove
रातमै;2;;remove
झर्ने;2;;remove
परिवर्तनको;2;;remove
मुस्कान;2;;remove
तकदिर;2;;remove
बुन्छ;2;;remove
माकुराको;2;;remove
जाल;2;;remove
गन्दै;2;;remove
मीठो;2;;remove
रस;2;;remove
मक्खै;2;;remove
नेताले;2;;remove
फकाए;2;;remove
भरमा;2;;remove
ढुकुटी;2;;remove
मिलाई;2;;remove
सजीलै;2;;remove
जनको;2;;remove
पैदा;2;;remove
शहीद;2;;remove
बलिदानको;2;;remove
निजको;2;;remove
मत;2;;remove
बनेकी;2;;remove
बाबाले;2;;remove
दिनको;2;;remove
छिटै;2;;remove
शिरमा;2;;remove
मौलायो;2;;remove
थपेको;2;;remove
पापी;2;;remove
खेलाउँथ्यौ;2;;remove
रोएँ;2;;remove
पकाउन;2;;remove
खुवाउन;2;;remove
भेला;2;;remove
नाच्न;2;;remove
निशब्द;2;;remove
दर्दनाक;2;;remove
पिडा;2;;remove
लुकाएर;2;;remove
सुने;2;;remove
पुरानै;2;;remove
चोली;2;;remove
रोयौ;2;;remove
आँगनीमा;2;;remove
मखमली;2;;remove
बस्तीको;2;;remove
बस्दा;2;;remove
पुगेँ;2;;remove
जिज्ञासा;2;;remove
फर्की;2;;remove
गरुँ;2;;remove
दील;2;;remove
दिँदा;2;;remove
ठिक्क;2;;remove
मानवको;2;;remove
सारथि;2;;remove
ब्रह्म;2;;remove
भवमा;2;;remove
नभमा;2;;remove
रुपको;2;;remove
महनी;2;;remove
गै;2;;remove
निस्किएको;2;;remove
धुवाले;2;;remove
बिछोडको;2;;remove
पीडामा;2;;remove
जिउँदै;2;;remove
आफन्तहरूलाई;2;;remove
सीमा;2;;remove
बगरमा;2;;remove
सहन;2;;remove
नभेटिने;2;;remove
तानेर;2;;remove
परिश्रम;2;;remove
शासन;2;;remove
दिँदै;2;;remove
खोक्रा;2;;remove
भाषण;2;;remove
अल्मल;2;;remove
खल्बल;2;;remove
हान्ने;2;;remove
धारिलो;2;;remove
चारै;2;;remove
धाम;2;;remove
ध्रुव;2;;remove
सक्दैन;2;;remove
सक्तैन;2;;remove
थुपारेर;2;;remove
सुन्दछ;2;;remove
विष;2;;remove
मभित्रको;2;;remove
घमण्ड;2;;remove
भलो;2;;remove
नराम्रो;2;;remove
ताल;2;;remove
बिचरालाई;2;;remove
मरण;2;;remove
छर्छ;2;;remove
भर्छ;2;;remove
आमाकै;2;;remove
हिँड्छन्;2;;remove
भेटिन्छ;2;;remove
हिँड्थे;2;;remove
दिनदिनै;2;;remove
खाए;2;;remove
व्यर्थै;2;;remove
मिल्छ;2;;remove
अरूले;2;;remove
हूँ;2;;remove
कटक्क;2;;remove
डुल्दै;2;;remove
ऐले;2;;remove
सद्भाव;2;;remove
फर्कन्छ;2;;remove
मायाको;2;;remove
भावहरू;2;;remove
पढ्न;2;;remove
तनमा;2;;remove
रानी;2;;remove
बढ्छन्;2;;remove
सफल;2;;remove
दिशाहीन;2;;remove
बस्तीहरू;2;;remove
चकनाचुर;2;;remove
पहाडहरू;2;;remove
पल्टाउँदै;2;;remove
उति;2;;remove
पन्जाबाट;2;;remove
डाउन;2;;remove
युगको;2;;remove
भरिन्छन्;2;;remove
ठेस;2;;remove
चोखो;2;;remove
भुँवरी;2;;remove
अकस्मात्;2;;remove
ईश्वर;2;;remove
स्तुति;2;;remove
बन्थ्यो;2;;remove
रहिकन;2;;remove
कुशल;2;;remove
वैद्य;2;;remove
पट्टी;2;;remove
दुखि;2;;remove
नमन्;2;;remove
लडी;2;;remove
सुखी;2;;remove
घातक;2;;remove
सङ्कट;2;;remove
सबसित;2;;remove
नित्यै;2;;remove
वेद;2;;remove
हित;2;;remove
यै;2;;remove
अहोरात्र;2;;remove
चिर;2;;remove
दिएँ;2;;remove
वचन;2;;remove
श्रद्धाञ्जली;2;;remove
लुरू;2;;remove
कोलाहल;2;;remove
मानवता;2;;remove
बम;2;;remove
रक्ताम्मे;2;;remove
जनताको;2;;remove
बन्छन्;2;;remove
राल;2;;remove
चित्कारहरू;2;;remove
निर्भय;2;;remove
गर्जन;2;;remove
चिच्याहट;2;;remove
गङ्गे;2;;remove
जनले;2;;remove
गोता;2;;remove
सम्झने;2;;remove
दूर;2;;remove
ताप;2;;remove
भैकन;2;;remove
बुझाउने;2;;remove
तरहले;2;;remove
सान्त्वना;2;;remove
भारतको;2;;remove
पखाली;2;;remove
शुद्ध;2;;remove
गतिले;2;;remove
मन्त्र;2;;remove
सिद्ध;2;;remove
मात;2;;remove
गर्दछन्;2;;remove
पर्दछन्;2;;remove
लियौ;2;;remove
धार;2;;remove
धारा;2;;remove
चालक;2;;remove
धर्मको;2;;remove
कृपया;2;;remove
नेपालीत्व;2;;remove
भावी;2;;remove
भरे;2;;remove
काखमा;2;;remove
भन्दैमा;2;;remove
फेरिँदैन;2;;remove
रापमा;2;;remove
हरपल;2;;remove
रहेर;2;;remove
हिमनदी;2;;remove
खहरे;2;;remove
अविचलित;2;;remove
जल;2;;remove
आकारमा;2;;remove
झर्दै;2;;remove
वेदनाका;2;;remove
लाभा;2;;remove
भक्कानो;2;;remove
गह;2;;remove
यत्ति;2;;remove
गहिरो;2;;remove
सान्निध्य;2;;remove
हुँला;2;;remove
फिलुङ्गो;2;;remove
पिसोल्टिएर;2;;remove
खेलेको;2;;remove
असजिलो;2;;remove
जमेको;2;;remove
नहुँदै;2;;remove
अवरोध;2;;remove
बनाऊ;2;;remove
आँधीको;2;;remove
काँडाको;2;;remove
धराप;2;;remove
थाप्छौ;2;;remove
फूलको;2;;remove
बदल्न;2;;remove
प्रेमका;2;;remove
हारे;2;;remove
सङ्घर्षको;2;;remove
आँधीले;2;;remove
अपुरो;2;;remove
निरर्थक;2;;remove
लक्ष्यसम्म;2;;remove
त्रासको;2;;remove
खान्छ;2;;remove
शब्दकोशमा;2;;remove
मस्तिष्कमा;2;;remove
आकार;2;;remove
बोक्न;2;;remove
धन;2;;remove
चलायो;2;;remove
कागज;2;;remove
गर्दछ;2;;remove
गोलीले;2;;remove
तोड्दछ;2;;remove
कामलाई;2;;remove
जोड्दछ;2;;remove
तागत;2;;remove
तेजिलो;2;;remove
ल्याई;2;;remove
शिक्षाको;2;;remove
झुपडी;2;;remove
विश्वलाई;2;;remove
भारत;2;;remove
लामो;2;;remove
मार्न;2;;remove
मैदानमा;2;;remove
आउनेजाने;2;;remove
जारी;2;;remove
पाउँछु;2;;remove
गरिरहेछु;2;;remove
मरुभूमिमा;2;;remove
जिउन;2;;remove
यात्री;2;;remove
अनपेक्षित;2;;remove
खोतल्न;2;;remove
अवस्थित;2;;remove
छालले;2;;remove
घरीघरी;2;;remove
बाटोको;2;;remove
बन्दी;2;;remove
गुगलको;2;;remove
गाउँसम्म;2;;remove
प्रश्नै;2;;remove
चेहरा;2;;remove
आत्महत्या;2;;remove
मृत्यु;2;;remove
भेटाएको;2;;remove
बाटैमा;2;;remove
आजीवन;2;;remove
दण्ड;2;;remove
गुमनाम;2;;remove
नाक;2;;remove
कुमारी;2;;remove
बहिनीको;2;;remove
कारागारमा;2;;remove
अस्ताउँथ्यो;2;;remove
हिक्;2;;remove
बेखबर;2;;remove
पर्वत;2;;remove
हेर्छ;2;;remove
प्रकाशमा;2;;remove
आँखाले;2;;remove
आँखाको;2;;remove
इसारा;2;;remove
गर्नुहोस्;2;;remove
काफी;2;;remove
बेलाका;2;;remove
भाग्यमानी;2;;remove
अधुरा;2;;remove
काँधमा;2;;remove
ठगिएको;2;;remove
भगवान;2;;remove
गर्व;2;;remove
तपाई;2;;remove
खोल;2;;remove
सुनाउनु;2;;remove
तपाईँलाई;2;;remove
कतिको;2;;remove
साह्रै;2;;remove
हजुरबाले;2;;remove
वहाँको;2;;remove
प्रस्ट;2;;remove
वहाँसँग;2;;remove
बिताउन;2;;remove
चित्त;2;;remove
फुट्यो;2;;remove
जानुहोस्;2;;remove
भ्याएँ;2;;remove
चट्टान;2;;remove
प्रकोप;2;;remove
प्रशस्त;2;;remove
अङ्गालेँ;2;;remove
रोपेँ;2;;remove
जमाइदिएँ;2;;remove
अरूमा;2;;remove
खाइनँ;2;;remove
सत्यतालाई;2;;remove
बमको;2;;remove
युगौँ;2;;remove
मान्छु;2;;remove
अरूकोभन्दा;2;;remove
सुनामीको;2;;remove
जाँगर;2;;remove
आर्जेको;2;;remove
गुलाम;2;;remove
जन्मँदै;2;;remove
झार्न;2;;remove
मानवीय;2;;remove
परन्तु;2;;remove
आणविक;2;;remove
सरर;2;;remove
कोर्दै;2;;remove
फरर;2;;remove
हरर;2;;remove
टक;2;;remove
छिछिछि;2;;remove
मित्र;2;;remove
टुलुलु;2;;remove
तरर;2;;remove
गलल;2;;remove
घुमेर;2;;remove
ढाड;2;;remove
काँप्दै;2;;remove
चिरिरि;2;;remove
दाह्रा;2;;remove
पार्दै;2;;remove
थुनेर;2;;remove
मागी;2;;remove
वितृष्णा;2;;remove
बढे;2;;remove
प्रस्फुटन;2;;remove
हुँदैछन्;2;;remove
नअटाउने;2;;remove
जातिको;2;;remove
मलामीहरू;2;;remove
चिता;2;;remove
मूर्ख;2;;remove
बाँच्नको;2;;remove
मलजल;2;;remove
दीन;2;;remove
गर्जिन;2;;remove
ड्रागन;2;;remove
ठिङ्ग;2;;remove
चिर्दै;2;;remove
बिजुली;2;;remove
चिर्ने;2;;remove
बस्यो;2;;remove
उडी;2;;remove
उड्यो;2;;remove
तबल;2;;remove
किसान;2;;remove
हरित;2;;remove
उकुसमुकुस;2;;remove
वेदनामा;2;;remove
आलाप;2;;remove
भोका;2;;remove
लिएका;2;;remove
भनाउँदा;2;;remove
कुरै;2;;remove
धिक्कार;2;;remove
पच्चिसको;2;;remove
नियाल्छु;2;;remove
हुनेछन्;2;;remove
कोर्न;2;;remove
देख्छन्;2;;remove
उच्छृङ्खल;2;;remove
भन्नेमा;2;;remove
पढेको;2;;remove
लाचार;2;;remove
ताराहरू;2;;remove
अलकत्रा;2;;remove
तिखो;2;;remove
हौसला;2;;remove
दिनेहरूलाई;2;;remove
दरिलो;2;;remove
पर्खाल;2;;remove
पच्चीसमा;2;;remove
निस्स्वार्थ;2;;remove
फोका;2;;remove
रसिलो;2;;remove
झल्मल;2;;remove
हिमको;2;;remove
बाँच्नु;2;;remove
मुर्छा;2;;remove
औ;2;;remove
भव्य;2;;remove
देशै;2;;remove
राजाको;2;;remove
आश्रय;2;;remove
चल्दै;2;;remove
छायो;2;;remove
जुधाउन;2;;remove
रहुन्जेल;2;;remove
सिँदुर;2;;remove
पोते;2;;remove
स्वप्न;2;;remove
पल्टाउँदा;2;;remove
ढाकेको;2;;remove
फुर्र;2;;remove
अन्योल;2;;remove
चैँ;2;;remove
भाडा;2;;remove
लाठी;2;;remove
छोरो;2;;remove
घुँक्क;2;;remove
क्यासिनो;2;;remove
पुर्खाको;2;;remove
सुकै;2;;remove
भिरको;2;;remove
टुलुटुलु;2;;remove
आहत;2;;remove
यथार्थ;2;;remove
तेर्स्याएर;2;;remove
नजिकिएको;2;;remove
बगिरहेको;2;;remove
अन्योलमा;2;;remove
छाडिदेऊ;2;;remove
थालेको;2;;remove
गाँजेको;2;;remove
जाऊ;2;;remove
अत्याधुनिक;2;;remove
चाहिन्न;2;;remove
भविष्यको;2;;remove
फुल्न;2;;remove
बिदा;2;;remove
उकालो;2;;remove
हाँसी;2;;remove
छिनमा;2;;remove
फल;2;;remove
देखी;2;;remove
अँध्यारो;2;;remove
भोको;2;;remove
भक्ति;2;;remove
चिच्याहटलाई;2;;remove
निकाल्छन्;2;;remove
पाउँदा;2;;remove
सफलता;2;;remove
भरोसा;2;;remove
लछारेर;2;;remove
पछारेर;2;;remove
संस्कारमा;2;;remove
सौन्दर्य;2;;remove
सृष्टिको;2;;remove
दक्षिण;2;;remove
उत्तरतिर;2;;remove
बटुवाहरू;2;;remove
मानेर;2;;remove
हेर्छन्;2;;remove
सबैले;2;;remove
वास्तवमा;2;;remove
रहरले;2;;remove
सागरमा;2;;remove
बसिदियो;2;;remove
बुर्कुसी;2;;remove
निधि;2;;remove
बँचाइको;2;;remove
सिकाउँदोरहेछ;2;;remove
सोझो;2;;remove
सिको;2;;remove
शनैः;2;;remove
हिँडे;2;;remove
पारिको;2;;remove
डेडी;2;;remove
सीता;2;;remove
बिर्सन;2;;remove
कथाको;2;;remove
छोरीले;2;;remove
बेस्सरी;2;;remove
मार्छ;2;;remove
जेल;2;;remove
राक्षस;2;;remove
छोरीको;2;;remove
बिरे;2;;remove
अबोध;2;;remove
कुमारीत्व;2;;remove
बिर्खेले;2;;remove
कोपिलामै;2;;remove
कुकुरहरू;2;;remove
गुम्बाका;2;;remove
सङ्कीर्ण;2;;remove
घेराभित्र;2;;remove
माटोसँग;2;;remove
जोडिएको;2;;remove
विकासका;2;;remove
घोषित;2;;remove
जस्ता;2;;remove
भित्रै;2;;remove
वर्गीय;2;;remove
सृजनशील;2;;remove
यन्त्र;2;;remove
सम्पन्नता;2;;remove
मार्दै;2;;remove
सलामी;2;;remove
अभियानको;2;;remove
आस्थाको;2;;remove
कमाउँछन्;2;;remove
टुटेको;2;;remove
साझा;2;;remove
झुन्ड;2;;remove
प्रेरित;2;;remove
यसो;2;;remove
विस्थापित;2;;remove
स्कूल;2;;remove
मुना;2;;remove
चौरमा;2;;remove
बस्ता;2;;remove
खाँदी;2;;remove
सालको;2;;remove
भुल्दिन;2;;remove
छानी;2;;remove
अङ्ग्रेजी;2;;remove
सरले;2;;remove
गर्थ्यौँ;2;;remove
सरको;2;;remove
पालै;2;;remove
सम्झिरहेको;2;;remove
पिठो;2;;remove
फेसबुकमा;2;;remove
झनै;2;;remove
विदेशी;2;;remove
बनाउँछन्;2;;remove
बागडोर;2;;remove
चिप्लिएर;2;;remove
घामको;2;;remove
गर्दथेँ;2;;remove
ताल्चा;2;;remove
बिलायो;2;;remove
क्षेत्रफल;2;;remove
चाकडी;2;;remove
उपमा;2;;remove
सम्भव;2;;remove
लगाएको;2;;remove
हुर्केको;2;;remove
मिले;2;;remove
बगिरहेछ;2;;remove
भँगालो;2;;remove
अनेकौँ;2;;remove
यात्रामा;2;;remove
आनन्दले;2;;remove
सकून्;2;;remove
कलात्मक;2;;remove
खोल्ने;2;;remove
उठ्ने;2;;remove
निश्चल;2;;remove
फेसबुकको;2;;remove
भतिज;2;;remove
स्क्रिनमा;2;;remove
भएकाले;2;;remove
म्यासेजको;2;;remove
पठाइदिऊँ;2;;remove
बन्छ;2;;remove
ध्यानै;2;;remove
सोचमग्न;2;;remove
वर्षीय;2;;remove
चुनौतीलाई;2;;remove
हाँस;2;;remove
चिम्लिएर;2;;remove
काकाको;2;;remove
खिसी;2;;remove
निरीह;2;;remove
जवाफमा;2;;remove
स्मार्ट;2;;remove
फोनको;2;;remove
प्राविधिक;2;;remove
लड्नु;2;;remove
युगल;2;;remove
सफा;2;;remove
पानामा;2;;remove
साटासाट;2;;remove
खोज;2;;remove
मेला;2;;remove
परिणत;2;;remove
घुँडा;2;;remove
शरीरमा;2;;remove
सङ्घारमा;2;;remove
छरिएका;2;;remove
विगतका;2;;remove
लागेन;2;;remove
अत्यन्तै;2;;remove
डुबुल्की;2;;remove
लेखेको;2;;remove
खोलिएन;2;;remove
पढिएन;2;;remove
जटिल;2;;remove
खुसीमा;2;;remove
चिठीलाई;2;;remove
छहारी;2;;remove
जाडोले;2;;remove
सबैलाई;2;;remove
बनाउनेछ;2;;remove
हुनेछ;2;;remove
हर्दम;2;;remove
सुर्ता;2;;remove
बडेको;2;;remove
लुकेर;2;;remove
वनका;2;;remove
बनिँदै;2;;remove
हराए;2;;remove
खेल्न;2;;remove
बगाल;2;;remove
वनको;2;;remove
पक्षी;2;;remove
पावन;2;;remove
लेखौँ;2;;remove
लेखेर;2;;remove
लासहरू;2;;remove
विरोधी;2;;remove
भिड;2;;remove
जम्मा;2;;remove
मूर्खहरू;2;;remove
दुखेन;2;;remove
पाएको;2;;remove
बयान;2;;remove
सहिद;2;;remove
परिभाषाले;2;;remove
रहन;2;;remove
उनि;2;;remove
रामायण;2;;remove
उदय;2;;remove
सखा;2;;remove
शुभ;2;;remove
नेपालीको;2;;remove
छैनौँ;2;;remove
उठाई;2;;remove
राँको;2;;remove
अहा;2;;remove
मेहनत;2;;remove
चित्र;2;;remove
निर्जीव;2;;remove
अवतार;2;;remove
लक्ष्मी;2;;remove
सरस्वती;2;;remove
भाछ;2;;remove
भा;2;;remove
स्तम्भ;2;;remove
इतिहासको;2;;remove
अतीतको;2;;remove
आदिम;2;;remove
हप्तै;2;;remove
महिनै;2;;remove
नपाइने;2;;remove
नचल्ने;2;;remove
बाबुआमा;2;;remove
भनेकै;2;;remove
पाउन्डको;2;;remove
चामल;2;;remove
सुमधुर;2;;remove
राइन;2;;remove
नदीका;2;;remove
प्रतिबिम्बित;2;;remove
रुँदै;2;;remove
पद्मे;2;;remove
मिठा;2;;remove
निधारमा;2;;remove
मर्दैछन्;2;;remove
बाका;2;;remove
पवित्र;2;;remove
निकालिएको;2;;remove
नाङ्गो;2;;remove
सुनाखरी;2;;remove
ऋण;2;;remove
पछाडिबाट;2;;remove
रोप्ने;2;;remove
दुस्मन;2;;remove
हुन्थे;2;;remove
आँगनको;2;;remove
मिलेन;2;;remove
थाप्न;2;;remove
ठोकेर;2;;remove
गर्नेछ;2;;remove
खोज्ने;2;;remove
स्थिति;2;;remove
सम्प्रेषण;2;;remove
गुप्त;2;;remove
अनुसारको;2;;remove
खोस्ने;2;;remove
सकेँ;2;;remove
वीरताको;2;;remove
किसानको;2;;remove
पहाडबाट;2;;remove
हाँस्ने;2;;remove
लड्दा;2;;remove
बढ्दा;2;;remove
बाजी;2;;remove
रोपेको;2;;remove
फेर्दै;2;;remove
चौतारी;2;;remove
रोइरहेछ;2;;remove
सुनामी;2;;remove
सक्यौँ;2;;remove
सोच्छु;2;;remove
सत्ताको;2;;remove
विक्षिप्त;2;;remove
बुढा;2;;remove
कान्लाभरि;2;;remove
हाम्रै;2;;remove
थाह;2;;remove
पढेँ;2;;remove
फुल्छन्;2;;remove
चिच्याउँदै;2;;remove
बाँचिरहेछु;2;;remove
पुराना;2;;remove
सक्दो;2;;remove
स्याँ;2;;remove
प्रेममा;2;;remove
बिहे;2;;remove
अप;2;;remove
लाग्दैछ;2;;remove
शोक;2;;remove
उत्सव;2;;remove
थुँगो;2;;remove
प्रेमकै;2;;remove
निः;2;;remove
सदाबहार;2;;remove
पुग्दा;2;;remove
हिँडौँ;2;;remove
तिमीमा;2;;remove
यु;2;;remove
बेग्लै;2;;remove
आँखैले;2;;remove
भ्यालेन्टाइन;2;;remove
गुलाफका;2;;remove
बोटहरू;2;;remove
फुले;2;;remove
हुस्सु;2;;remove
चले;2;;remove
वृक्ष;2;;remove
डाल;2;;remove
घारी;2;;remove
चुम्छु;2;;remove
गुम्छु;2;;remove
आठ;2;;remove
फर्क;2;;remove
चढ्छु;2;;remove
लतावृक्ष;2;;remove
पर्खी;2;;remove
गलामा;2;;remove
बसेकी;2;;remove
मुटुको;2;;remove
नकसिने;2;;remove
गाँठो;2;;remove
कस्न;2;;remove
जाती;2;;remove
बढी;2;;remove
बहुमूल्य;2;;remove
तिरस्कार;2;;remove
शास्त्र;2;;remove
गीता;2;;remove
काव्य;2;;remove
सम;2;;remove
काव्यै;2;;remove
जगतमा;2;;remove
छर्दै;2;;remove
भाकाहरूमा;2;;remove
अक्षरहरू;2;;remove
नवीन;2;;remove
ऋतु;2;;remove
से;2;;remove
बोल्दथे;2;;remove
वसन्ती;2;;remove
विभूति;2;;remove
पुर्खाका;2;;remove
सिकाउने;2;;remove
विषाक्त;2;;remove
डाँडाको;2;;remove
बिहानको;2;;remove
सुदूर;2;;remove
दिउन;2;;remove
उत्ताउला;2;;remove
रासलीला;2;;remove
छानो;2;;remove
दुःखको;2;;remove
काख;2;;remove
जगतका;2;;remove
दर्द;2;;remove
विष्णु;2;;remove
हेरिरहेथेँ;2;;remove
निराकार;2;;remove
बिलकुल;2;;remove
छटपटाइरहेको;2;;remove
उसो;2;;remove
घरबारी;2;;remove
पुर्ख्यौली;2;;remove
थलो;2;;remove
अहिलेसम्म;2;;remove
सोचिरहन्छु;2;;remove
नङ्ग्रा;2;;remove
सङ्कुचित;2;;remove
खेली;2;;remove
रङ्गहरूसँग;2;;remove
जाँदै;2;;remove
कुटुक्क;2;;remove
निराश;2;;remove
गुन्युको;2;;remove
च्यातेर;2;;remove
हराउँथे;2;;remove
रोमान्टिक;2;;remove
उडेको;2;;remove
चराको;2;;remove
बसन्ती;2;;remove
कोट्याएर;2;;remove
माछा;2;;remove
भोगेको;2;;remove
समुद्री;2;;remove
बेजोडसँग;2;;remove
ग्यासहरू;2;;remove
पर्माफ्रोस्टको;2;;remove
हरायौ;2;;remove
हावामा;2;;remove
निस्किएका;2;;remove
काम्दै;2;;remove
तयारी;2;;remove
लासलाई;2;;remove
अनिष्ट;2;;remove
चीत्कार;2;;remove
काँपिरहेको;2;;remove
प्रयोगशालामा;2;;remove
जलवायु;2;;remove
कोर्दैछु;2;;remove
कोरलको;2;;remove
कोरलमा;2;;remove
अध्ययनबाट;2;;remove
शरीरको;2;;remove
नङ्ग्याएर;2;;remove
शून्यताको;2;;remove
प्याजको;2;;remove
आवरण;2;;remove
केस्रा;2;;remove
प्रतिफल;2;;remove
रासायनिक;2;;remove
थोपाथोपामा;2;;remove
पाउको;2;;remove
खुट्टाको;2;;remove
ज्वालामुखी;2;;remove
डराउँदिन;2;;remove
चिच्याएर;2;;remove
कराउँदिन;2;;remove
चिरफार;2;;remove
तिनका;2;;remove
पाउले;2;;remove
नेपालीभाषी;2;;remove
गर्वले;2;;remove
विडम्बना;2;;remove
नहुँदो;2;;remove
रुवाइ;2;;remove
गन्दैन;2;;remove
बुझ्दैन;2;;remove
उठाऊ;2;;remove
पुरै;2;;remove
लिन;2;;remove
हेरी;2;;remove
धुलो;2;;remove
तिमीबाट;2;;remove
कानको;2;;remove
जाली;2;;remove
सम्बन्धको;2;;remove
आफन्तको;2;;remove
बदलीबदली;2;;remove
नाट्यशालाको;2;;remove
फट्कार्छ;2;;remove
भएझैँ;2;;remove
अजीव;2;;remove
आरोपी;2;;remove
पेस;2;;remove
बोल्छ;2;;remove
भनिनँ;2;;remove
बन्छु;2;;remove
दर्ज्यानी;2;;remove
रुखका;2;;remove
टेक्न;2;;remove
शासकहरूले;2;;remove
जमिन;2;;remove
लुटे;2;;remove
खोलामा;2;;remove
क्रूर;2;;remove
थम्स;2;;remove
केश;2;;remove
रहँदो;2;;remove
सम्झिरहेँ;2;;remove
बाल;2;;remove
वर्क;2;;remove
हार्ड;2;;remove
गेट;2;;remove
मनी;2;;remove
सिमसिम;2;;remove
परिरहेछ;2;;remove
साथीको;2;;remove
छातामा;2;;remove
बिसिएला;2;;remove
अनिदो;2;;remove
बिगार्ला;2;;remove
भालेको;2;;remove
डाकमै;2;;remove
लगातार;2;;remove
घोकिरहेको;2;;remove
अङ्क;2;;remove
नआएर;2;;remove
ल्याउनुपर्ने;2;;remove
बिसेक;2;;remove
नभएपछि;2;;remove
भन्छिन्;2;;remove
छिन;2;;remove
पर्ख;2;;remove
थप्छिन्;2;;remove
नजाने;2;;remove
नगएर;2;;remove
गर्दि;2;;remove
रछु;2;;remove
झर्कन्छु;2;;remove
छुटाउनु;2;;remove
अको;2;;remove
पातको;2;;remove
गोजीभित्र;2;;remove
फाउन्टेन;2;;remove
पेन;2;;remove
तागतलाई;2;;remove
निथ्रुक्क;2;;remove
झोक्काले;2;;remove
भाँच्न;2;;remove
पातले;2;;remove
बनेकोले;2;;remove
अझसम्म;2;;remove
चुनौती;2;;remove
रतुवा;2;;remove
तर्नुपर्ने;2;;remove
बडेमाको;2;;remove
डुङ;2;;remove
भएभरको;2;;remove
हान्छु;2;;remove
नाघ्न;2;;remove
पानीमा;2;;remove
चुम्लुङ्ग;2;;remove
हठात्;2;;remove
निस्कन;2;;remove
तलसम्म;2;;remove
बग्छु;2;;remove
बटारिएर;2;;remove
खाँदै;2;;remove
बढ्ने;2;;remove
कपालबाट;2;;remove
तपतप;2;;remove
झरिरहेको;2;;remove
नाकबाट;2;;remove
चुहिरहेको;2;;remove
बालुवा;2;;remove
बिझाइरहेको;2;;remove
भिजिरहेको;2;;remove
नजिकै;2;;remove
गृष्मको;2;;remove
जाडोमा;2;;remove
बसेका;2;;remove
उभिरहेका;2;;remove
विद्यार्थीहरू;2;;remove
छरपस्ट;2;;remove
चासो;2;;remove
झरिरहेका;2;;remove
बाछिटाले;2;;remove
भिजे;2;;remove
कपाल;2;;remove
सुकाउनु;2;;remove
कस्ता;2;;remove
भएतिर;2;;remove
दौडेर;2;;remove
हात्तीका;2;;remove
तिघ्रा;2;;remove
गर्विन्थ्यो;2;;remove
दौडँदा;2;;remove
महारथी;2;;remove
आँखाभरि;2;;remove
आक्रोश;2;;remove
दुस्मनको;2;;remove
